locus_tag	name	type	description	functional	strand	rbs_start	rbs_stop	start_position	stop_position	tblist_regulon	tblist_operon	tu_id	functional_category
Rv3621c	PPE65	CDS	PPE family protein PPE65		-	4061896	4061900	4060648	4061889			TU2353	PE/PPE	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3622c	PE32	CDS	PE family protein PE32		-	4062207	4062211	4061899	4062198			TU2353	PE/PPE	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3623	lpqG	CDS	Probable conserved lipoprotein LpqG		+			4062527	4063249			TU2354	cell wall and cell processes
Rv3624c	hpt	CDS	Hypoxanthine-guanine phosphoribosyltransferase Hpt (HGPRT) (HGPRTase) (hypoxanthine phosphoribosyltransferase) (imp pyrophosphorylase) (imp diphosphorylase) (transphosphoribosyltransferase) (guanine phosphoribosyltransferase)		-			4063254	4063904			TU2355	intermediary metabolism and respiration
Rv3625c	mesJ	CDS	Possible cell cycle protein MesJ		-			4063901	4064872			TU2355	cell wall and cell processes
Rv3626c	Rv3626c	CDS	Conserved hypothetical protein		-			4064851	4065903			TU2355	conserved hypotheticals
Rv3627c	Rv3627c	CDS	Conserved protein		-	4067291	4067295	4065900	4067285			TU2355	conserved hypotheticals
Rv3628	ppa	CDS	Inorganic pyrophosphatase Ppa (pyrophosphate phospho-hydrolase) (PPASE) (inorganic diphosphatase) (diphosphate phospho-hydrolase)		+	4067410	4067415	4067423	4067911	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU2356	intermediary metabolism and respiration
Rv3629c	Rv3629c	CDS	Probable conserved integral membrane protein		-	4069058	4069062	4067957	4069054			TU2357	cell wall and cell processes
Rv3630	Rv3630	CDS	Probable conserved integral membrane protein		+			4069175	4070470			TU2358	cell wall and cell processes
Rv3631	Rv3631	CDS	Possible transferase (possibly glycosyltransferase)		+			4070514	4071239			TU2359	intermediary metabolism and respiration
Rv3632	Rv3632	CDS	Possible conserved membrane protein		+	4071223	4071227	4071236	4071580			TU2359	cell wall and cell processes
Rv3633	Rv3633	CDS	Conserved protein		+			4071791	4072666			TU2360	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3634c	galE1	CDS	UDP-glucose 4-epimerase GalE1 (galactowaldenase) (UDP-galactose 4-epimerase) (uridine diphosphate galactose 4-epimerase) (uridine diphospho-galactose 4-epimerase)		-			4072667	4073611	Predicted to be in the SigE|Rv1221 regulon during macrophage (THP-1) infection (See Fontan et al., 2008).		TU2361	intermediary metabolism and respiration
Rv3635	Rv3635	CDS	Probable conserved transmembrane protein		+			4073634	4075409			TU2362	cell wall and cell processes
Rv3636	Rv3636	CDS	Possible transposase		+	4075739	4075745	4075752	4076099			TU2363	insertion seqs and phages
Rv3637	Rv3637	CDS	Possible transposase		+			4076484	4076984			TU2364	insertion seqs and phages
Rv3638	Rv3638	CDS	Possible transposase		+			4076984	4077730			TU2364	insertion seqs and phages
Rv3639c	Rv3639c	CDS	Conserved hypothetical protein		-			4077884	4078450			TU2365	conserved hypotheticals	Prediction based on GO and InterPro: insertion seqs and phages (See Mazandu and Mulder, 2012)
Rv3640c	Rv3640c	CDS	Probable transposase		-	4079759	4079764	4078520	4079749			TU2366	insertion seqs and phages
Rv3641c	fic	CDS	Possible cell filamentation protein Fic		-			4079925	4080560			TU2367	cell wall and cell processes
Rv3642c	Rv3642c	CDS	Hypothetical protein		-			4080571	4080765			TU2367	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3643	Rv3643	CDS	Hypothetical protein		+			4081160	4081351			TU2368	conserved hypotheticals
MTB000044	thrU	tRNA	tRNA-Thr (CGT)		-			4081365	4081437				stable RNAs
Rv3644c	Rv3644c	CDS	Possible DNA polymerase		-			4081516	4082721			TU2369	information pathways
Rv3645	Rv3645	CDS	Probable conserved transmembrane protein		+			4082807	4084456			TU2370	cell wall and cell processes
Rv3646c	topA	CDS	DNA topoisomerase I TopA (omega-protein) (relaxing enzyme) (untwisting enzyme) (swivelase) (type I DNA topoisomerase) (nicking-closing enzyme) (TOPO I)		-	4087269	4087272	4084453	4087257			TU2371	information pathways
Rv3647c	Rv3647c	CDS	Conserved hypothetical protein		-			4087610	4088188			TU2372	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv3648c	cspA	CDS	Probable cold shock protein A CspA		-	4088543	4088547	4088328	4088531			TU2373	virulence, detoxification, adaptation
Rv3649	Rv3649	CDS	Probable helicase		+			4088781	4091096			TU2374	information pathways
Rv3650	PE33	CDS	PE family protein PE33		+			4091233	4091517			TU2375	PE/PPE	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv3651	Rv3651	CDS	Conserved hypothetical protein		+			4091841	4092878			TU2376	conserved hypotheticals
MTB000071	mpr18	ncRNA	Fragment of putative small regulatory RNA		+			4093468	4093522				stable RNAs
Rv3652	PE_PGRS60	CDS	PE-PGRS family-related protein PE_PGRS60		+	4093621	4093626	4093632	4093946			TU2377	PE/PPE
Rv3653	PE_PGRS61	CDS	PE-PGRS family-related protein PE_PGRS61		+			4093940	4094527			TU2377	PE/PPE
Rv3654c	Rv3654c	CDS	Conserved hypothetical protein		-	4094921	4094925	4094660	4094914			TU2378	conserved hypotheticals
Rv3655c	Rv3655c	CDS	Conserved hypothetical protein		-	4095309	4095313	4094923	4095300			TU2378	conserved hypotheticals
Rv3656c	Rv3656c	CDS	Conserved hypothetical protein		-	4095533	4095537	4095324	4095530			TU2378	conserved hypotheticals
Rv3657c	Rv3657c	CDS	Possible conserved alanine rich membrane protein		-	4096125	4096128	4095540	4096115			TU2378	cell wall and cell processes
Rv3658c	Rv3658c	CDS	Probable conserved transmembrane protein		-			4096139	4096939			TU2378	cell wall and cell processes
Rv3659c	Rv3659c	CDS	Conserved hypothetical protein		-	4097996	4098000	4096936	4097994			TU2378	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3660c	Rv3660c	CDS	Conserved hypothetical protein		-			4098096	4099148	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003).	B11 and Rv3660c are not co-transcribed, by RT-PCR (See Arnvig and Young, 2009).	TU2379	virulence, detoxification, adaptation
MTB000058	B11	ncRNA	Putative small regulatory RNA		-			4099386	4099478		B11 and Rv3660c are not co-transcribed, by RT-PCR (See Arnvig and Young, 2009).		stable RNAs
Rv3661	Rv3661	CDS	Conserved hypothetical protein		+			4099647	4100510	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU2380	virulence, detoxification, adaptation
MTB000078	MTS2823	ncRNA	Putative small regulatory RNA		+			4100669	4100968				stable RNAs
Rv3662c	Rv3662c	CDS	Conserved hypothetical protein		-	4102045	4102048	4101265	4102035			TU2381	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3663c	dppD	CDS	Probable dipeptide-transport ATP-binding protein ABC transporter DppD		-			4102032	4103678			TU2381	cell wall and cell processes
Rv3664c	dppC	CDS	Probable dipeptide-transport integral membrane protein ABC transporter DppC		-			4103675	4104475			TU2381	cell wall and cell processes
Rv3665c	dppB	CDS	Probable dipeptide-transport integral membrane protein ABC transporter DppB		-			4104531	4105457			TU2382	cell wall and cell processes
Rv3666c	dppA	CDS	Probable periplasmic dipeptide-binding lipoprotein DppA		-	4107093	4107096	4105459	4107084			TU2382	cell wall and cell processes
Rv3667	acs	CDS	Acetyl-coenzyme A synthetase Acs (acetate--CoA ligase) (acetyl-CoA synthetase) (acetyl-CoA synthase) (acyl-activating enzyme) (acetate thiokinase) (acetyl-activating enzyme) (acetate--coenzyme A ligase) (acetyl-coenzyme A synthase)		+			4107792	4109747			TU2383	lipid metabolism
Rv3668c	Rv3668c	CDS	Possible protease		-	4110489	4110493	4109783	4110481			TU2384	intermediary metabolism and respiration
Rv3669	Rv3669	CDS	Probable conserved transmembrane protein		+	4110816	4110820	4110827	4111345			TU2385	cell wall and cell processes
Rv3670	ephE	CDS	Possible epoxide hydrolase EphE (epoxide hydratase) (arene-oxide hydratase)		+	4111336	4111339	4111346	4112329			TU2385	virulence, detoxification, adaptation
Rv3671c	Rv3671c	CDS	Membrane-associated serine protease		-			4112322	4113515			TU2386	intermediary metabolism and respiration
Rv3672c	Rv3672c	CDS	Conserved hypothetical protein		-	4114348	4114354	4113521	4114342			TU2386	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv3673c	Rv3673c	CDS	Possible membrane-anchored thioredoxin-like protein (thiol-disulfide interchange related protein)		-			4114474	4115157			TU2387	intermediary metabolism and respiration
Rv3674c	nth	CDS	Probable endonuclease III Nth (DNA-(apurinic or apyrimidinic site)lyase) (AP lyase) (AP endonuclease class I) (endodeoxyribonuclease (apurinic or apyrimidinic)) (deoxyribonuclease (apurinic or apyrimidinic))		-			4115157	4115894			TU2387	information pathways
Rv3675	Rv3675	CDS	Possible membrane protein		+			4116002	4116379			TU2388	cell wall and cell processes
Rv3676	crp	CDS	Transcriptional regulatory protein Crp (Crp/Fnr-family)		+	4116470	4116473	4116478	4117152			TU2389	regulatory proteins
Rv3677c	Rv3677c	CDS	Possible hydrolase		-	4118066	4118071	4117258	4118052			TU2390	intermediary metabolism and respiration
Rv3678c	Rv3678c	CDS	Conserved protein		-			4118059	4118514			TU2392	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3678A	Rv3678A	CDS	Conserved hypothetical protein		-			4118530	4118691			TU2391	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3679	Rv3679	CDS	Probable anion transporter ATPase		+			4118776	4119798			TU2393	cell wall and cell processes
Rv3680	Rv3680	CDS	Probable anion transporter ATPase		+	4119785	4119791	4119795	4120955			TU2393	cell wall and cell processes
Rv3681c	whiB4	CDS	Probable transcriptional regulatory protein WhiB-like WhiB4		-			4121198	4121554			TU2394	regulatory proteins
Rv3682	ponA2	CDS	Probable bifunctional membrane-associated penicillin-binding protein 1A/1B PonA2 (murein polymerase) [includes: penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)]		+			4121916	4124348			TU2395	cell wall and cell processes
Rv3683	Rv3683	CDS	Conserved protein		+	4124405	4124408	4124417	4125376			TU2396	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3684	Rv3684	CDS	Probable lyase		+	4125432	4125435	4125439	4126479			TU2397	intermediary metabolism and respiration
MTB000045	proY	tRNA	tRNA-Pro (CGG)		+			4126541	4126614				stable RNAs
Rv3685c	cyp137	CDS	Probable cytochrome P450 137 Cyp137		-	4128730	4128733	4127295	4128725			TU2398	intermediary metabolism and respiration
Rv3686c	Rv3686c	CDS	Conserved hypothetical protein		-	4129089	4129093	4128751	4129083			TU2398	conserved hypotheticals
Rv3687c	rsfB	CDS	Anti-anti-sigma factor RsfB (anti-sigma factor antagonist) (regulator of sigma F B)		-	4129699	4129702	4129323	4129691			TU2399	information pathways
Rv3688c	Rv3688c	CDS	Conserved protein		-			4129893	4130357			TU2400	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv3689	Rv3689	CDS	Probable conserved transmembrane protein		+	4130345	4130348	4130357	4131712			TU2401	cell wall and cell processes
Rv3690	Rv3690	CDS	Probable conserved membrane protein		+	4131725	4131728	4131739	4132392			TU2401	cell wall and cell processes
Rv3691	Rv3691	CDS	Conserved protein		+	4132509	4132513	4132518	4133519			TU2402	conserved hypotheticals
Rv3692	moxR2	CDS	Probable methanol dehydrogenase transcriptional regulatory protein MoxR2		+	4133503	4133506	4133516	4134592			TU2402	regulatory proteins
Rv3693	Rv3693	CDS	Possible conserved membrane protein		+	4134712	4134715	4134726	4136048			TU2403	cell wall and cell processes
Rv3694c	Rv3694c	CDS	Possible conserved transmembrane protein		-	4137124	4137127	4136122	4137114			TU2404	cell wall and cell processes
Rv3695	Rv3695	CDS	Possible conserved membrane protein		+			4137206	4138138			TU2405	cell wall and cell processes
Rv3696c	glpK	CDS	Probable glycerol kinase GlpK (ATP:glycerol 3-phosphotransferase) (glycerokinase) (GK)		-			4138202	4139755			TU2406	intermediary metabolism and respiration
Rv3697c	vapC48	CDS	Possible toxin VapC48. Contains PIN domain.		-			4139805	4140242			TU2407	virulence, detoxification, adaptation
Rv3697A	vapB48	CDS	Possible antitoxin VapB48		-			4140239	4140463				virulence, detoxification, adaptation
Rv3698	Rv3698	CDS	Conserved protein		+			4140493	4142022			TU2408	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3699	Rv3699	CDS	Conserved protein		+	4142032	4142035	4142044	4142745			TU2408	conserved hypotheticals
Rv3700c	Rv3700c	CDS	Conserved hypothetical protein		-	4143928	4143931	4142748	4143920			TU2409	intermediary metabolism and respiration
Rv3701c	Rv3701c	CDS	Conserved hypothetical protein		-	4144922	4144926	4143951	4144916			TU2409	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3702c	Rv3702c	CDS	Conserved hypothetical protein		-	4145621	4145624	4144913	4145614			TU2409	conserved hypotheticals
Rv3703c	Rv3703c	CDS	Conserved hypothetical protein		-	4146896	4146899	4145614	4146891			TU2409	conserved hypotheticals
Rv3704c	gshA	CDS	Glutamate--cysteine ligase GshA (gamma-glutamylcysteine synthetase) (gamma-ECS) (GCS) (gamma-glutamyl-L-cysteine synthetase)		-	4148196	4148200	4146888	4148186			TU2409	intermediary metabolism and respiration
Rv3705c	Rv3705c	CDS	Conserved protein		-	4148972	4148975	4148318	4148962			TU2411	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3705A	Rv3705A	CDS	Conserved hypothetical proline rich protein		-			4149091	4149480			TU2410	conserved hypotheticals
Rv3706c	Rv3706c	CDS	Conserved hypothetical proline rich protein		-	4149916	4149919	4149591	4149911			TU2412	conserved hypotheticals
Rv3707c	Rv3707c	CDS	Conserved hypothetical protein		-			4150030	4151040			TU2413	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3708c	asd	CDS	Aspartate-semialdehyde dehydrogenase Asd (ASA dehydrogenase) (ASADH) (aspartic semialdehyde dehydrogenase) (L-aspartate-beta-semialdehyde dehydrogenase)		-	4152224	4152227	4151180	4152217			TU2414	intermediary metabolism and respiration
Rv3709c	ask	CDS	Aspartokinase Ask (aspartate kinase) [contains: aspartokinase alpha subunit (Ask-alpha); and aspartokinase beta subunit (Ask-beta)]		-	4153490	4153493	4152218	4153483			TU2414	intermediary metabolism and respiration
Rv3710	leuA	CDS	2-isopropylmalate synthase LeuA (alpha-isopropylmalate synthase) (alpha-IPM synthetase) (IPMS)		+	4153728	4153731	4153740	4155674			TU2415	intermediary metabolism and respiration
Rv3711c	dnaQ	CDS	Probable DNA polymerase III (epsilon subunit) DnaQ		-			4155740	4156729			TU2416	information pathways
Rv3712	Rv3712	CDS	Possible ligase		+			4156981	4158222			TU2417	intermediary metabolism and respiration
Rv3713	cobQ2	CDS	Possible cobyric acid synthase CobQ2		+	4158220	4158223	4158227	4158922			TU2417	intermediary metabolism and respiration
Rv3714c	Rv3714c	CDS	Conserved hypothetical protein		-			4158931	4159821			TU2418	conserved hypotheticals
Rv3715c	recR	CDS	Probable recombination protein RecR		-			4159889	4160500			TU2419	information pathways
Rv3716c	Rv3716c	CDS	Conserved protein		-	4160920	4160925	4160512	4160913			TU2419	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv3717	Rv3717	CDS	Conserved hypothetical protein		+	4161039	4161042	4161048	4161773			TU2420	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3718c	Rv3718c	CDS	Conserved protein		-	4162269	4162274	4161815	4162258			TU2421	conserved hypotheticals	Prediction based on GO and InterPro: lipid metabolism (See Mazandu and Mulder, 2012)
Rv3719	Rv3719	CDS	Conserved protein		+			4162306	4163718			TU2422	conserved hypotheticals
Rv3720	Rv3720	CDS	Possible fatty acid synthase		+			4163736	4164998			TU2422	lipid metabolism
Rv3721c	dnaZX	CDS	DNA polymerase III (subunit gamma/tau) DnaZ/X		-			4164995	4166731			TU2423	information pathways
Rv3722c	Rv3722c	CDS	Conserved protein		-	4168049	4168052	4166821	4168128		C8 and Rv3722c are co-transcribed, by RT-PCR (See Arnvig and Young, 2009).	TU2424	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
MTB000059	C8	ncRNA	Possible 4.5S RNA in signal recognition particle (small cytoplasmic RNA) (SC-RNA)		-			4168154	4168281		C8 and Rv3722c are co-transcribed, by RT-PCR (See Arnvig and Young, 2009).		stable RNAs
MTB000046	serV	tRNA	tRNA-Ser (GGA)		+			4168345	4168430				stable RNAs
Rv3723	Rv3723	CDS	Probable conserved transmembrane protein		+	4168526	4168532	4168536	4169300			TU2425	cell wall and cell processes
Rv3724A	cut5a	CDS	Probable cutinase precursor [first part] Cut5a		+			4169467	4169709			TU2426	cell wall and cell processes
Rv3724B	cut5b	CDS	Probable cutinase [second part] Cut5b		+			4169606	4170169			TU2426	cell wall and cell processes
Rv3725	Rv3725	CDS	Possible oxidoreductase		+	4170205	4170211	4170214	4171143			TU2427	intermediary metabolism and respiration
Rv3726	Rv3726	CDS	Possible dehydrogenase		+	4171409	4171412	4171421	4172614			TU2428	intermediary metabolism and respiration
Rv3727	Rv3727	CDS	Possible oxidoreductase		+	4172941	4172944	4172955	4174763			TU2429	intermediary metabolism and respiration
Rv3728	Rv3728	CDS	Probable conserved two-domain membrane protein		+	4174857	4174860	4174873	4178070			TU2430	cell wall and cell processes
Rv3729	Rv3729	CDS	Possible transferase		+	4178277	4178280	4178285	4180615			TU2431	intermediary metabolism and respiration
Rv3730c	Rv3730c	CDS	Conserved hypothetical protein		-			4180680	4181720			TU2432	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3731	ligC	CDS	Possible ATP-dependent DNA ligase LigC (polydeoxyribonucleotide synthase [ATP]) (polynucleotide ligase [ATP]) (sealase) (DNA repair protein) (DNA joinase)		+			4181758	4182834			TU2433	information pathways
Rv3732	Rv3732	CDS	Conserved protein		+			4182934	4183992			TU2434	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3733c	Rv3733c	CDS	Conserved hypothetical protein		-			4184012	4184512			TU2435	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv3734c	tgs2	CDS	Putative triacylglycerol synthase (diacylglycerol acyltransferase) Tgs2		-	4185892	4185896	4184526	4185890			TU2435	lipid metabolism
Rv3735	Rv3735	CDS	Conserved hypothetical protein		+	4186080	4186083	4186089	4186577			TU2436	conserved hypotheticals
Rv3736	Rv3736	CDS	Transcriptional regulatory protein (probably AraC/XylS-family)		+	4186621	4186624	4186634	4187695			TU2437	regulatory proteins
Rv3737	Rv3737	CDS	Probable conserved transmembrane protein		+			4187699	4189288			TU2437	cell wall and cell processes
Rv3738c	PPE66	CDS	PPE family protein PPE66		-	4190235	4190238	4189285	4190232			TU2438	PE/PPE
Rv3739c	PPE67	CDS	PPE family protein PPE67		-	4190524	4190529	4190284	4190517			TU2439	PE/PPE
Rv3740c	Rv3740c	CDS	Possible triacylglycerol synthase (diacylglycerol acyltransferase)		-			4190833	4192179			TU2440	lipid metabolism
Rv3741c	Rv3741c	CDS	Possible oxidoreductase		-			4192179	4192853			TU2440	intermediary metabolism and respiration
Rv3742c	Rv3742c	CDS	Possible oxidoreductase		-	4193254	4193257	4192850	4193245			TU2440	intermediary metabolism and respiration
Rv3743c	ctpJ	CDS	Probable cation transporter P-type ATPase CtpJ		-			4193391	4195373			TU2441	cell wall and cell processes
Rv3744	nmtR	CDS	Metal sensor transcriptional regulator (ArsR-SmtB family)		+			4195440	4195802			TU2442	regulatory proteins
Rv3745c	Rv3745c	CDS	Conserved hypothetical protein		-	4196101	4196104	4195886	4196098			TU2443	conserved hypotheticals
Rv3746c	PE34	CDS	Probable PE family protein PE34 (PE family-related protein)		-	4196513	4196519	4196171	4196506	Predicted to be in the Rv1404 regulon (See Golby et al., 2008).		TU2444	PE/PPE
Rv3747	Rv3747	CDS	Conserved protein		+	4196712	4196715	4196724	4197107	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU2445	conserved hypotheticals
Rv3748	Rv3748	CDS	Conserved hypothetical protein		+	4197224	4197227	4197236	4197595			TU2446	conserved hypotheticals
Rv3749c	Rv3749c	CDS	Conserved hypothetical protein		-			4197628	4198137	Predicted to be in the SenX3|Rv0490-RegX3|Rv0491 regulon (See Parish et al., 2003).		TU2447	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3750c	Rv3750c	CDS	Possible excisionase		-	4198599	4198602	4198205	4198597			TU2448	insertion seqs and phages
Rv3751	Rv3751	CDS	Probable integrase (fragment)		+			4198874	4199089			TU2449	insertion seqs and phages
MTB000047	serX	tRNA	tRNA-Ser (CGA)		-			4199131	4199217				stable RNAs
Rv3752c	Rv3752c	CDS	Possible cytidine/deoxycytidylate deaminase		-			4199247	4199705			TU2450	intermediary metabolism and respiration
Rv3753c	Rv3753c	CDS	Conserved protein		-			4199721	4200221			TU2450	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3754	tyrA	CDS	Prephenate dehydrogenase TyrA (PDH) (hydroxyphenylpyruvate synthase)		+			4200421	4201326			TU2451	intermediary metabolism and respiration
Rv3755c	Rv3755c	CDS	Conserved protein		-			4201289	4201888			TU2452	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3756c	proZ	CDS	Possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) transport integral membrane protein ABC transporter ProZ		-	4202618	4202621	4201894	4202613			TU2452	virulence, detoxification, adaptation
Rv3757c	proW	CDS	Possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) transport integral membrane protein ABC transporter ProW		-	4203307	4203310	4202610	4203299			TU2452	virulence, detoxification, adaptation
Rv3758c	proV	CDS	Possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) transport ATP-binding protein ABC transporter ProV		-	4204425	4204428	4203287	4204417			TU2452	virulence, detoxification, adaptation
Rv3759c	proX	CDS	Possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) binding lipoprotein ProX		-			4204426	4205373	ChIP-chip indicates SigF|Rv3286c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU2452	virulence, detoxification, adaptation
Rv3760	Rv3760	CDS	Possible conserved membrane protein		+			4205538	4205840	ChIP-chip indicates SigF|Rv3286c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU2453	cell wall and cell processes
Rv3761c	fadE36	CDS	Possible acyl-CoA dehydrogenase FadE36		-			4205862	4206917			TU2454	lipid metabolism
Rv3762c	Rv3762c	CDS	Possible hydrolase		-	4208884	4208887	4206996	4208876	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU2455	intermediary metabolism and respiration
Rv3763	lpqH	CDS	19 kDa lipoprotein antigen precursor LpqH		+	4209035	4209040	4209047	4209526	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU2456	cell wall and cell processes
Rv3764c	tcrY	CDS	Possible two component sensor kinase TcrY		-	4211015	4211018	4209582	4211009			TU2457	regulatory proteins
Rv3765c	tcrX	CDS	Probable two component transcriptional regulatory protein TcrX		-			4211080	4211784			TU2458	regulatory proteins
Rv3766	Rv3766	CDS	Hypothetical protein		+			4212293	4212982			TU2459	conserved hypotheticals
Rv3767c	Rv3767c	CDS	Possible S-adenosylmethionine-dependent methyltransferase		-			4212996	4213940	Predicted to be in the SigE|Rv1221 regulon during macrophage (THP-1) infection (See Fontan et al., 2008).		TU2460	lipid metabolism
Rv3768	Rv3768	CDS	Unknown protein		+			4214070	4214429			TU2461	conserved hypotheticals
Rv3769	Rv3769	CDS	Hypothetical protein		+			4214615	4214887			TU2462	conserved hypotheticals
Rv3770c	Rv3770c	CDS	Hypothetical leucine rich protein		-			4215200	4215775			TU2465	conserved hypotheticals	Prediction based on GO and InterPro: insertion seqs and phages (See Mazandu and Mulder, 2012)
Rv3770A	Rv3770A	CDS	Probable remnant of a transposase		-			4215881	4216063			TU2463	insertion seqs and phages
Rv3770B	Rv3770B	CDS	Probable remnant of a transposase		-			4216078	4216269			TU2464	insertion seqs and phages
Rv3771c	Rv3771c	CDS	Conserved hypothetical protein		-			4216404	4216730			TU2466	conserved hypotheticals	Prediction based on GO and InterPro: insertion seqs and phages (See Mazandu and Mulder, 2012)
MTB000048	argU	tRNA	tRNA-Arg (ACG)		-			4216865	4216937				stable RNAs
MTB000049	serT	tRNA	tRNA-Ser (GCT)		-			4216968	4217056				stable RNAs
Rv3772	hisC2	CDS	Probable histidinol-phosphate aminotransferase HisC2 (imidazole acetol-phosphate transaminase) (imidazolylacetolphosphate aminotransferase)		+			4217134	4218195			TU2467	intermediary metabolism and respiration
Rv3773c	Rv3773c	CDS	Conserved protein		-			4218241	4218825			TU2468	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3774	echA21	CDS	Possible enoyl-CoA hydratase EchA21 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)		+			4218849	4219673			TU2469	lipid metabolism
Rv3775	lipE	CDS	Probable lipase LipE		+			4219685	4220932			TU2469	intermediary metabolism and respiration
Rv3776	Rv3776	CDS	Conserved hypothetical protein		+			4221089	4222648	Thought to be regulated by Rv2720|LEXA.		TU2470	conserved hypotheticals
MTB000050	serU	tRNA	tRNA-Ser (TGA)		-			4222581	4222667				stable RNAs
Rv3777	Rv3777	CDS	Probable oxidoreductase		+			4222694	4223680			TU2471	intermediary metabolism and respiration
Rv3778c	Rv3778c	CDS	Possible aminotransferase		-			4223699	4224895			TU2472	intermediary metabolism and respiration
Rv3779	Rv3779	CDS	Probable conserved transmembrane protein alanine and leucine rich		+			4224985	4226985			TU2473	cell wall and cell processes
Rv3780	Rv3780	CDS	Conserved protein		+			4226989	4227525			TU2473	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3781	rfbE	CDS	Probable O-antigen/lipopolysaccharide transport ATP-binding protein ABC transporter RfbE		+			4227529	4228350			TU2473	cell wall and cell processes
Rv3782	glfT1	CDS	UDP-galactofuranosyl transferase GlfT1		+			4228347	4229261			TU2473	cell wall and cell processes
Rv3783	rfbD	CDS	Probable O-antigen/lipopolysaccharide transport integral membrane protein ABC transporter RfbD		+			4229258	4230100			TU2473	cell wall and cell processes
Rv3784	Rv3784	CDS	Possible dTDP-glucose 4,6-dehydratase		+			4230256	4231236			TU2474	intermediary metabolism and respiration
Rv3785	Rv3785	CDS	Hypothetical protein		+			4231320	4232393			TU2475	conserved hypotheticals
